iter	Passed	Remaining
0	159	158963
1	173	86378
2	185	61799
3	199	49684
4	214	42619
5	228	37805
6	242	34342
7	255	31706
8	269	29707
9	282	27959
10	295	26527
11	308	25440
12	322	24520
13	336	23730
14	350	22994
15	362	22270
16	373	21623
17	385	21016
18	397	20522
19	409	20048
20	420	19613
21	432	19235
22	444	18898
23	460	18707
24	474	18492
25	487	18249
26	499	18001
27	512	17775
28	524	17548
29	536	17335
30	547	17116
31	559	16925
32	570	16731
33	583	16566
34	595	16413
35	607	16260
36	619	16121
37	631	15980
38	643	15863
39	655	15742
40	667	15614
41	679	15505
42	691	15395
43	704	15301
44	715	15189
45	727	15094
46	740	15011
47	752	14930
48	764	14846
49	776	14758
50	788	14675
51	801	14605
52	812	14526
53	825	14462
54	837	14397
55	851	14359
56	863	14287
57	878	14268
58	893	14243
59	908	14225
60	922	14208
61	936	14175
62	950	14139
63	964	14112
64	983	14142
65	998	14123
66	1012	14092
67	1026	14074
68	1040	14044
69	1057	14048
70	1070	14013
71	1084	13982
72	1099	13964
73	1113	13939
74	1127	13911
75	1142	13887
76	1155	13847
77	1169	13819
78	1182	13783
79	1195	13744
80	1208	13714
81	1221	13680
82	1236	13659
83	1250	13632
84	1264	13608
85	1277	13581
86	1290	13543
87	1304	13523
88	1318	13492
89	1331	13467
90	1345	13444
91	1359	13416
92	1374	13401
93	1387	13372
94	1401	13347
95	1415	13325
96	1429	13308
97	1443	13284
98	1456	13255
99	1469	13224
100	1483	13205
101	1497	13187
102	1515	13198
103	1528	13165
104	1541	13143
105	1555	13121
106	1568	13092
107	1581	13058
108	1593	13028
109	1606	12995
110	1618	12961
111	1631	12933
112	1643	12899
113	1655	12867
114	1667	12830
115	1679	12798
116	1692	12777
117	1705	12750
118	1717	12716
119	1730	12687
120	1742	12657
121	1756	12638
122	1768	12607
123	1780	12576
124	1792	12547
125	1804	12516
126	1817	12492
127	1828	12457
128	1843	12446
129	1856	12424
130	1868	12396
131	1881	12374
132	1893	12345
133	1906	12318
134	1918	12293
135	1930	12267
136	1943	12240
137	1954	12210
138	1967	12185
139	1980	12163
140	1995	12158
141	2008	12136
142	2022	12118
143	2034	12091
144	2046	12066
145	2058	12040
146	2070	12017
147	2082	11990
148	2094	11964
149	2106	11939
150	2119	11915
151	2132	11894
152	2143	11868
153	2156	11844
154	2169	11824
155	2180	11798
156	2200	11815
157	2218	11821
158	2230	11797
159	2243	11777
160	2255	11753
161	2267	11730
162	2279	11706
163	2291	11681
164	2304	11660
165	2316	11637
166	2328	11615
167	2340	11592
168	2352	11569
169	2365	11547
170	2377	11527
171	2389	11503
172	2401	11477
173	2412	11454
174	2426	11437
175	2438	11415
176	2450	11391
177	2471	11412
178	2484	11395
179	2496	11373
180	2511	11364
181	2523	11342
182	2537	11326
183	2548	11302
184	2561	11283
185	2573	11264
186	2585	11242
187	2598	11223
188	2610	11200
189	2622	11181
190	2634	11160
191	2646	11139
192	2659	11119
193	2671	11100
194	2684	11081
195	2696	11062
196	2708	11041
197	2721	11022
198	2733	11002
199	2745	10983
200	2758	10965
201	2770	10944
202	2782	10923
203	2794	10904
204	2807	10889
205	2821	10876
206	2834	10857
207	2847	10841
208	2859	10821
209	2871	10801
210	2884	10787
211	2896	10766
212	2908	10747
213	2921	10730
214	2934	10715
215	2948	10702
216	2962	10691
217	2976	10676
218	2990	10664
219	3003	10648
220	3017	10637
221	3030	10621
222	3043	10603
223	3055	10584
224	3068	10570
225	3082	10555
226	3105	10574
227	3121	10570
228	3135	10557
229	3148	10541
230	3161	10524
231	3175	10510
232	3187	10493
233	3200	10477
234	3213	10462
235	3225	10443
236	3237	10424
237	3250	10406
238	3262	10387
239	3274	10370
240	3286	10350
241	3298	10331
242	3310	10313
243	3322	10295
244	3335	10278
245	3348	10261
246	3360	10244
247	3373	10230
248	3386	10212
249	3398	10194
250	3410	10177
251	3422	10159
252	3435	10143
253	3447	10124
254	3459	10106
255	3471	10090
256	3483	10071
257	3496	10056
258	3508	10038
259	3521	10022
260	3535	10011
261	3547	9992
262	3560	9977
263	3573	9961
264	3585	9944
265	3597	9925
266	3609	9909
267	3622	9893
268	3634	9876
269	3646	9859
270	3658	9842
271	3671	9826
272	3684	9811
273	3697	9796
274	3709	9778
275	3722	9763
276	3734	9746
277	3746	9730
278	3759	9715
279	3772	9701
280	3785	9686
281	3798	9672
282	3811	9656
283	3823	9640
284	3836	9624
285	3848	9608
286	3860	9590
287	3873	9577
288	3886	9561
289	3901	9550
290	3915	9540
291	3928	9525
292	3941	9511
293	3954	9495
294	3967	9481
295	3979	9465
296	3992	9449
297	4004	9433
298	4016	9417
299	4029	9401
300	4043	9389
301	4056	9374
302	4068	9358
303	4080	9342
304	4093	9327
305	4106	9314
306	4119	9299
307	4132	9283
308	4144	9268
309	4157	9254
310	4168	9236
311	4182	9223
312	4194	9207
313	4206	9189
314	4218	9174
